Wavlength (nm),b,g,r,re,nir
616,0.000257217,0.002266242,0.000931405,0.000703267,0.003226046
617,0.000197299,0.001874223,0.000921072,0.000394876,0.003232137
618,0.000204004,0.001973279,0.000799082,0.000475161,0.003473627
619,0.000119489,0.001965897,0.000935997,0.00071519,0.003408758
620,0.000239775,0.001702059,0.000883147,0.00015881,0.002968208
621,0.000320244,0.002169624,0.000976301,0.000957506,0.003004063
622,0.000489759,0.001965146,0.001047513,0.000239077,0.003405513
623,0.000720615,0.001880769,0.001337703,0.00088444,0.003862185
624,0.000737702,0.001821825,0.001156017,0,0.004121001
625,0.000649407,0.001788248,0.001289936,0,0.004473946
626,0.000505374,0.002127745,0.001306927,0.000485939,0.00462616
627,0.000268109,0.001851713,0.001002092,0.000812763,0.004421687
628,0.000285433,0.001887945,0.000889727,0.001878416,0.004260587
629,0.000263471,0.002179971,0.001188944,0.001557483,0.0039908
630,0.000287284,0.002055936,0.001308898,0.000487319,0.003677419
631,0.000255688,0.001987782,0.001208459,0,0.003617107
632,0.0003096,0.001922264,0.000858351,0.000574731,0.003459343
633,0.000235435,0.002314615,0.000689984,0.000247499,0.003392793
634,0.000237369,0.002276105,0.001288927,0,0.002682886
635,0.000221354,0.002142272,0.001136321,0,0.003046127
636,0.000362589,0.002543513,0.001390794,0.000837044,0.003087221
637,0.000213547,0.002191907,0.001218284,0.000925546,0.003129042
638,0.000347684,0.002342427,0.001292149,0.001516334,0.003050296
639,0.000393446,0.002056072,0.00101156,0.001260772,0.002821397
640,0.000311192,0.002285007,0.000667459,0.001180048,0.003201945
641,0.000237747,0.002775299,0.001031073,0.000845049,0.003498441
642,0.000440532,0.002552132,0.001384758,0.000849032,0.003569387
643,0.000483037,0.003074906,0.001949301,0.000508449,0.004280018
644,0.000416689,0.003313133,0.001551483,0,0.004614196
645,0.000341562,0.004054672,0.001046898,0.000170942,0.005251981
646,0.00065887,0.004489868,0.001753015,0.000256699,0.005802593
647,0.000660226,0.004602146,0.001642542,0.000944762,0.007374086
648,0.000724624,0.004651172,0.001828639,0.000771331,0.008364591
649,0.000515723,0.005135978,0.001697878,0.001204874,0.008615429
650,0.000406662,0.005484234,0.002516815,0.00077623,0.007755226
651,0.000511006,0.005962183,0.002762452,0,0.0063293
652,0.000410074,0.005441291,0.00300318,0,0.004243246
653,0.000433575,0.005002712,0.004247054,0,0.003568486
654,0.000443207,0.005119214,0.005103354,0.000959113,0.002530123
655,0.000298318,0.005119623,0.005952263,0.001747687,0.002149829
656,0.000357332,0.00502547,0.008458017,0.001840473,0.001355398
657,0.000350696,0.004590737,0.011190465,0.002541637,0.00121674
658,0.000372801,0.003993627,0.017085745,0.002025692,0.000970451
659,0.000328703,0.003862071,0.022481473,0.002205483,0.001056233
660,0.000305793,0.004065704,0.036778682,0.00159685,0.001027977
661,0.000547475,0.004535729,0.052545133,0.002037247,0.000795134
662,0.000300515,0.004145123,0.093273586,0.003118143,0.000942239
663,0.000293323,0.004039194,0.1430853,0.002583372,0.001044921
664,0.000208921,0.004166344,0.222507962,0.002583809,0.000898659
665,0.000379385,0.004215386,0.406450174,0.001877583,0.000845015
666,0.000289942,0.004189512,0.556903477,0.001607842,0.000815204
667,0.000396126,0.004277474,0.751978487,0.0016944,0.001012609
668,0.000255235,0.004091625,0.843348658,0.003310962,0.000923538
669,0.000250926,0.003464842,0.934865446,0.003349785,0.000899298
670,0.000197873,0.003895451,0.975019257,0.002272893,0.000775883
671,0.00035193,0.003900114,1,0.003017147,0.000943988
672,0.000402092,0.003506196,0.97794966,0.002378758,0.000751766
673,0.000415253,0.00354028,0.918405931,0.002675625,0.000632576
674,0.0005011,0.00352674,0.841861871,0.00294172,0.000950746
675,0.000565108,0.003159952,0.655382318,0.002670781,0.000697552
676,0.000372452,0.002942936,0.484964134,0.003042939,0.000733298
677,0.000526869,0.003165727,0.255221029,0.00339107,0.000771408
678,0.000594705,0.00329474,0.151140845,0.003226747,0.000569315
679,0.000738993,0.003553848,0.067493509,0.003439259,0.000775659
680,0.000683007,0.003777553,0.040606342,0.004475641,0.000593621
681,0.000593431,0.00419592,0.020452627,0.004303592,0.000553692
682,0.000593741,0.004775297,0.013962747,0.002234749,0.000895098
683,0.000379291,0.00503554,0.008311053,0.003003607,0.000986283
684,0.000446017,0.00449014,0.006217762,0.003568803,0.000992288
685,0.000391472,0.00461982,0.00433237,0.003301411,0.000871233
686,0.000261372,0.005360302,0.003926927,0.002732879,0.000589324
687,0.000348465,0.005113138,0.00296637,0.004355212,0.00074847
688,0.000339815,0.005082216,0.002624923,0.005066076,0.000791365
689,0.000372896,0.005061155,0.002307624,0.004941676,0.001022679
690,0.000299533,0.005284842,0.002127011,0.005274994,0.000756628
691,0.000333941,0.005130309,0.002043962,0.003276569,0.000905548
692,0.000324954,0.004555073,0.001598877,0.003573563,0.000800434
693,0.000233617,0.004580618,0.001247281,0.001835493,0.00089899
694,0.00028468,0.004660098,0.001045438,0.004666125,0.001051034
695,0.000353794,0.004684951,0.001024832,0.004474508,0.001044817
696,0.000408257,0.005115877,0.001088356,0.003617347,0.001172285
697,0.000330586,0.005593711,0.001013327,0.004136375,0.000957308
698,0.000369277,0.006353441,0.001580072,0.005418755,0.000869804
699,0.000395272,0.007408818,0.001157969,0.005603509,0.000762924
700,0.000311557,0.008326852,0.001562075,0.005914588,0.000546432
701,0.000325161,0.008803377,0.001556811,0.007134483,0.000940439
702,0.000390943,0.008933084,0.001171622,0.009197036,0.000889392
703,0.000440456,0.008159989,0.001704638,0.013157247,0.000475336
704,0.000307471,0.007395134,0.001134331,0.015764365,0.000641389
705,0.000236368,0.006133981,0.000884365,0.021571509,0.001020772
706,0.000316273,0.004996567,0.000877634,0.027735819,0.000744642
707,0.000402692,0.004507438,0.000658211,0.039724429,0.000793229
708,0.000616322,0.004061658,0.000572274,0.054710511,0.000943086
709,0.000775377,0.002799553,0.000787596,0.086003484,0.000762885
710,0.000750794,0.002713993,0.000822317,0.126449148,0.000857526
711,0.000643368,0.002057528,0.000742233,0.234029675,0.000626661
712,0.000688089,0.001864035,0.000597116,0.429880811,0.000612397
713,0.000698514,0.001705422,0.000714744,0.602350491,0.000673942
714,0.000822246,0.002033686,0.000708915,0.844632791,0.001028475
715,0.00066692,0.001795528,0.001252539,0.938404831,0.001154497
716,0.000544976,0.001488431,0.000742225,0.999345944,0.001287337
717,0.000729314,0.001470111,0.001023397,1,0.001149073
718,0.000579674,0.001307208,0.000779664,0.99926185,0.000976396
719,0.000594157,0.001664365,0.000650514,0.999818708,0.000945471
720,0.00065957,0.001956729,0.0008214,0.981341039,0.00103979
721,0.000741439,0.001837624,0.001013523,0.911991988,0.001165904
722,0.000667407,0.001654634,0.000880399,0.798395362,0.000908433
723,0.000542092,0.002118607,0.000843081,0.54381075,0.000949046
724,0.000557383,0.002453618,0.000719536,0.365639935,0.001266307
725,0.000332621,0.00197935,0.001021309,0.170853267,0.000871524
726,0.000211483,0.002637275,0.00082845,0.075676689,0.00074736
727,0.000212521,0.003070212,0.000771827,0.044467099,0.001005393
728,0.000324195,0.003097094,0.000957178,0.024065334,0.000723167
729,0.000391695,0.003870087,0.001141892,0.016320409,0.002402482
730,0.000283557,0.00454737,0.000658616,0.008392596,0.001498711
731,0.000394322,0.005076394,0.000890172,0.006402023,0.000973321
732,0.00052801,0.00505853,0.001019637,0.005770166,0.001244536
733,0.000210617,0.004723155,0.001100295,0.00536537,0.000927599
734,0.000186642,0.004182792,0.000798651,0.006091954,0.000705774
735,0.000271089,0.004162413,0.000612962,0.004995792,0.000893385
736,0.000223147,0.004280926,0.000258006,0.004604443,0.00097649
737,0.000371911,0.003971929,0.000352206,0.003413254,0.001039382
738,0.000121004,0.003840612,0.000494859,0.004623721,0.00111301
739,0.000215299,0.003395981,0.000336147,0.004129826,0.000869431
740,0.000228784,0.002801791,0.000844965,0.002195508,0.000865024
741,0.000285495,0.00313596,0.0007826,0.002009561,0.001047889
742,0.00023741,0.003243524,0.000511674,0.002784223,0.001012046
743,8.64E-05,0.003216562,0.00074203,0.001914662,0.001572317
744,0.000280954,0.003277388,0.000950314,0.002861286,0.001498741
745,0.000213892,0.003808299,0.000784962,0.002767942,0.00126838
746,0.000210682,0.004803602,0.000490915,0.002690098,0.000986795
747,0.000273496,0.005140163,0.000581044,0.002326471,0.001080462
748,0.000228293,0.006344169,0.000492604,0.002226839,0.001057917
749,0.0003937,0.008543404,0.000650059,0.002338978,0.000788927
750,0.000284936,0.011158235,0.000932949,0.002952532,0.000834333
751,0.000241671,0.012583148,0.000695417,0.002448047,0.001280634
752,8.09E-05,0.012824118,0.00091991,0.003343367,0.001098986
753,0.00027827,0.010957431,0.000739515,0.002763884,0.001239797
754,0.000166507,0.007760083,0.000335766,0.003670998,0.000909463
755,0.000203728,0.005493112,0.000676291,0.002605206,0.001268335
756,0.000207466,0.00453414,0.000773183,0.002403191,0.001346465
757,0.000288314,0.003290856,0.00091926,0.002118743,0.001198051
758,0.00175388,0.004158229,0.002126554,0.004372537,0.0055089
759,0.00056208,0.002524753,0.001122371,0.002446194,0.002393836
760,0.00020485,0.00174078,0.001134051,0.001643162,0.001566485
761,0.000133642,0.001463442,0.000744623,0.002705619,0.001346782
762,0.000190461,0.001300184,0.001084417,0.003433376,0.001629209
763,0.000171558,0.001246056,0.000947589,0.003868911,0.001475814
764,0.000151976,0.000939622,0.001006244,0.003891497,0.001504233
765,0.000171949,0.00107529,0.000722617,0.00262064,0.001727391
766,0.000294414,0.001247445,0.000606052,0.003721438,0.001445472
767,0.000213239,0.001213517,0.000528882,0.00309844,0.001255444
768,0.000276148,0.001014014,0.000836244,0.002036669,0.001916422
769,0.000269196,0.000901207,0.00065468,0.003452891,0.002238552
770,0.000309921,0.000825944,0.000753026,0.002176698,0.001999473
771,0.000350071,0.000779476,0.000870142,0.002510937,0.002294273
772,0.000205387,0.000417348,0.001089388,0.00317624,0.002159224
773,0.000177056,0.000710182,0.000675477,0.002873928,0.002004118
774,0.000112547,0.000800157,0.000529839,0.003778854,0.002272789
775,0.000172988,0.00087623,0.000444647,0.003557233,0.002211254
776,0.000165295,0.000788028,0.000991914,0.003246491,0.002717708
777,0.000136152,0.00076235,0.000913698,0.002705114,0.002903154
778,0.000250884,0.000725088,0.0007932,0.002714583,0.002877176
779,0.000403795,0.000746404,0.001056091,0.003752159,0.002582959
780,0.00047399,0.000886343,0.001130762,0.003184956,0.003098995
781,0.00020936,0.000898725,0.001248102,0.002624805,0.002819169
782,0.000160209,0.000899185,0.000753677,0.001257541,0.002846345
783,0.000183655,0.000707865,0.000682294,0.001154108,0.00292557
784,0.000126869,0.000918179,0.000775265,0.002912543,0.00269847
785,0.00013207,0.001171,0.000911594,0.00269263,0.003133847
786,0.000269698,0.001227423,0.001030452,0.001060992,0.003751385
787,0.000284159,0.000969237,0.001253295,0.002488353,0.004437149
788,0.000344178,0.000814547,0.001312767,0.003355903,0.00425213
789,0.000367362,0.000949896,0.001212689,0.003362855,0.004008805
790,0.000351338,0.000897281,0.000869817,0.004229919,0.004786805
791,0.000168785,0.000886973,0.001139114,0.002413567,0.005036837
792,0.000312654,0.000804766,0.000704617,0.002441864,0.005672645
793,0.000225383,0.001028503,0.000673356,0.002296997,0.007054151
794,0.000280019,0.00142892,0.000852432,0.003557033,0.008035884
795,0.000161707,0.001706821,0.000825912,0.00146916,0.008425938
796,0.000200725,0.001758308,0.000915338,0.00135634,0.009552407
797,0.000248565,0.001451772,0.000766231,0.001979354,0.010443024
798,0.000349666,0.002191085,0.000756967,0.002845082,0.01298388
799,0.000303215,0.001906175,0.000628167,0.0018643,0.015799048
800,0.000251484,0.002246736,0.001252014,0.001749154,0.019656438
801,0.000231331,0.001942181,0.001175005,0.001495768,0.022531788
802,9.22E-05,0.002039245,0.001018029,0.00075125,0.028070779
803,0.000243765,0.002153282,0.001023875,0.001758366,0.034799936
804,0.000258927,0.002074113,0.00079647,0.002668082,0.043770769
805,0.000229609,0.002135744,0.000645408,0.003040422,0.052162433
806,0.000400945,0.001614693,0.000641235,0.003667744,0.066251418
807,0.000275829,0.001727705,0.001141947,0.002555299,0.085516533
808,0.000152094,0.0017051,0.000548886,0.002527528,0.112450918
809,0.000222457,0.001458049,0.000897054,0.002430323,0.150144938
810,0.000430379,0.001448151,0.000743167,0.003202196,0.182109997
811,0.000452179,0.001240026,0.000735708,0.002707649,0.244029992
812,0.000304613,0.0008916,0.000926004,0.003106264,0.327177086
813,0.000225688,0.001144395,0.000919566,0.003244928,0.430455813
814,0.000215258,0.000937186,0.000679289,0.004800756,0.544837144
815,6.04E-05,0.000888476,0.000656233,0.00493568,0.617461808
816,0.00032655,0.001188213,0.001121285,0.004415404,0.725934412
817,0.000495367,0.001275224,0.001305916,0.006794972,0.813725008
818,0.00028397,0.001249501,0.000938366,0.007225047,0.876882777
819,0.000288489,0.001254613,0.000774027,0.007611217,0.92369764
820,0.000187715,0.000998373,0.000774516,0.004987927,0.947770888
821,0.000137015,0.000712124,0.00064899,0.003030238,0.97310894
822,0.000182595,0.001006252,0.001395361,0.001840977,0.987099058
823,0.000306674,0.000435587,0.001093521,0.002790534,0.995939084
824,0.000241675,0.000757609,0.001074441,0.001870074,0.996758247
825,0.000231248,0.000720543,0.001099045,0.00199631,1
826,0.00020536,0.000965717,0.001167684,0.002796325,0.988847836
827,0.00027301,0.000638898,0.001232713,0.001867582,0.984236366
828,0.00030528,0.000788947,0.00143037,0.001343114,0.976154818
